id,hash,language,author_name,author_age,author_sex,receiver_sex,text_raw_numtokens,year,month,day,text_type
247,3019f6a0e9be6a935664e241084c14ed35a8045a0934310d9b420d2a59659d6c,en,George Orwell,46,m,m,1098,1948,10,9,letter
249,f9c1df8aaac5a9adbf09f44f7b6bba9131ee7340740ea14045267eb024242200,en,George Orwell,46,m,m,1322,1948,10,29,letter
105,232c38ea1a82d1bf8f8b0779232fb83e109a7c9f20ffdc4b0c548c31a3a2d8f3,en,George Orwell,40,m,m,487,1942,8,12,letter
256,d2eef9b88a527a49ac2c9d69bfc9a17165c13af3ac852e9adede0cdb55b4e101,en,George Orwell,46,m,m,271,1949,1,5,letter
106,1d5d8fce900b5078f72e2946111b02fd022eeab3fa4834c09abef1dbf9bd5be6,en,George Orwell,40,m,m,489,1942,8,17,letter
259,b9c88623efe1248451e08526088a172ec2ef4f7815b23fb4af4490395045dbca,en,George Orwell,46,m,m,678,1949,1,18,letter
260,eeefce254428243bc64d6bc585327895f8036473a44f71b6af8a80e8c41dcfc9,en,George Orwell,46,m,f,433,1949,1,18,letter
261,c51c2105ce8e6254a3964c704f461fd256c340864874408981678fa6f4a1cf1d,en,George Orwell,46,m,m,570,1949,2,2,letter
262,80f51d67fa7d36ff40d4ca7654ae1405a4853b82cd4238959a8222d0ea29c19a,en,George Orwell,46,m,m,671,1949,2,4,letter
264,2cd7221f4dcb04f157c38b08723554fba4b9b567c3b0cd0abae331d9c4af2076,en,George Orwell,46,m,f,704,1949,2,14,letter
265,4a3c915d8a114925b0e1d9f2bf405d0bde0312258ef7c5482dded703b4d74746,en,George Orwell,46,m,f,723,1949,2,15,letter
266,6edd1babac52ba6f1aff328d64be1fee0285800fbbdeefd3929c11ecbfef0417,en,George Orwell,46,m,m,454,1949,2,25,letter
268,c45bb10fd7819bd69ad89b92b55908cefd56d63a0f46326df577d76c2dfa86b2,en,George Orwell,46,m,m,799,1949,3,3,letter
107,0b6cd95454fd7082735ef640c01373d7be4b8e9abb9da73111f5f689b9e67485,en,George Orwell,40,m,m,442,1942,9,4,letter
272,29ce14f1707878ceed0ac994836b73a15ee8d90e27b70b342b1d7c2f646f5710,en,George Orwell,46,m,f,1184,1949,3,30,letter
273,580e04452b5ef086d73bf628f8d407304a89181c2edcfcad0fc0314fff753d6d,en,George Orwell,46,m,m,645,1949,3,31,letter
274,4367b592a895db66acd98d1b79ccf7fbebe00e7ca4c3e06d60d39afb54b5e593,en,George Orwell,46,m,f,700,1949,4,6,letter
277,49b9f80405511c83b8c55fab84b2a35d08d4f1349ec3652ef41a02a6d46aaf39,en,George Orwell,46,m,m,1203,1949,4,17,letter
278,55012571722ee1f4c1d8852ddcc381fc43540410888f2b1743616aa9edd804e5,en,George Orwell,46,m,f,848,1949,4,17,letter
279,563b73710f16e0e37294a6f91de0b654a748f85153ac60d300901b7729c7a0c2,en,George Orwell,46,m,m,493,1949,4,25,letter
108,7ded138642458fc4ebdec48c4386292e7ecc0ef33b5c269be14923ae94859bf7,en,George Orwell,40,m,f,296,1942,10,7,letter
113,bd2c9b13f0310ad34e3a6edc76f6d44a0a7d84ec5d6630027028907be337d4a8,en,George Orwell,40,m,m,422,1943,5,26,letter
114,ee8f475fa28d3a0f8e231237eace1e6195a34a9d844aba528347b73c13e5420b,en,George Orwell,41,m,m,750,1943,7,11,letter
271,516db5745e148b564096eb2bee0c4c7781bc365d6a72815e29e8ee7066caed3e,en,George Orwell,46,m,m,370,1949,3,17,letter
275,aecee2a4dcbd1c3cad7f13aec0ea1376e37a4b3b2b0f9e566ca8fe915cdc1952,en,George Orwell,46,m,m,441,1949,4,,letter
280,c11a9a2534a0420409f3be5f1bc0cecb45d40b6b7c97f9b355529a270aa46cc5,en,George Orwell,46,m,m,138,1949,5,2,letter
281,a4ab692d5ea2df91f8eabf6ee47709eee08a5127534fd78a5a97d8807e11dc36,en,George Orwell,46,m,m,939,1949,5,2,letter
282,e04800c29d4f03875d12bd2ebe29b02dbbfa424be2bdab426a1064c0dc5bdd37,en,George Orwell,46,m,m,474,1949,5,16,letter
9,36c288af021f2a0bb863c3c530df8bb83c3f5dd9872a25ed70c77a8b6887e422,en,George Orwell,30,m,m,377,1932,11,1,letter
121,83d1f8fa4352f2ba33f2d86e21139f0c7b3a77b1b3f19f5b72a616cfab51653b,en,George Orwell,41,m,m,311,1944,3,1,letter
123,bc06a4ed32a175070bc2fe711a1eaea10a9468a8e18cbd26bb5ac6b2d70d63f2,en,George Orwell,41,m,m,529,1944,3,19,letter
283,78df35697ce7f31f9340a513e8ffd23978e457e352089183d4daa59e85ff5272,en,George Orwell,46,m,m,219,1949,5,20,letter
214,982265a0d6b297259537d848bbe2e2261f8636e9ff5ec30d4c28ee1dbd29338d,en,George Orwell,45,m,m,225,1947,12,23,letter
295,bbd13d8a656380d25bcd5379aad761b42fa21e85144165a7a8d50dcad6419522,en,George Orwell,47,m,m,429,1949,7,27,letter
299,9e5950aecc70168c0e0222e409a9a9d046989e2621aadd69004c8be96c506e34,en,George Orwell,47,m,m,498,1949,9,17,letter
1,c59d7cd546a72b6aea9b308af9ec9b16dd23e2ed1a15657d764ac83b7affb2de,en,George Orwell,9,m,f,249,1911,12,2,letter
111,2bf630ff42be73b2c76f190e6bf50af307ebdefc69f37fe8bcc367ce4915540c,en,George Orwell,40,m,m,343,1943,3,3,letter
127,e701fa011d661fc670143ec830015238506e758225a2b7f963d1eb544aaced1f,en,George Orwell,42,m,m,413,1944,6,8,letter
129,96733dee65386229069384f40986a7e8e77419966926bdfc57e81066ee42eaa9,en,George Orwell,42,m,f,217,1944,6,28,letter
130,27c38da82e3e7211684a1467bff343219089eab1c2a01a2c6ea2fdbd8d18f9b9,en,George Orwell,42,m,f,348,1944,7,14,letter
131,7ab9b9fd417b9af7410252c10438ee013786d3e790051707c939274c2c0a81c1,en,George Orwell,42,m,m,89,1944,7,21,letter
133,b3207f7ff444a4af4bedda0cac917723cd8b59d8c58ea00acdbfd42059c3429c,en,George Orwell,42,m,m,183,1944,8,15,letter
134,20e3f6e9090082946e58f5c13ea7e60d09ee0f2dddb553c6f39a794f01688a81,en,George Orwell,42,m,m,242,1944,8,29,letter
232,f8d85771d71956ca55bb3a2f343b269dbbe034205ef428fac647e2a4b7a7c0c6,en,George Orwell,45,m,f,254,1948,4,5,letter
136,bee3afb4d46fe4d979b348d8adaeb22d79580689f5c44725f3a6ba2ef02d37b8,en,George Orwell,42,m,m,317,1945,3,2,letter
137,744f158088cb69ec996b187c5e85ff900185142f9c6deb38bc3c223df6dede67,en,George Orwell,42,m,f,773,1945,3,12,letter
143,1103d4eeb749bdf13c6afc40e2e8b8c6e4895f45a81dba82ddf9607d5edbeec9,en,George Orwell,42,m,f,391,1945,4,1,letter
144,dbcd9aa81dfec2816fe374cc99d7203f1b9ffd3b66a7061b2a0077a7526935f8,en,George Orwell,42,m,m,485,1945,4,13,letter
145,4088cbb6ef20090d2feddd41a673739c5a806a7da2eb5ea6bc6ef24eb1e50627,en,George Orwell,42,m,f,473,1945,5,11,letter
45,23925409175163ebab30b6cc3ce0553c186245ce98fcc4cacb8ecb07009f2be1,en,George Orwell,35,m,m,331,1937,12,10,letter
151,2734771b6357559aa82aedd686ca058743c2540b61df17a3033b73f7a990a620,en,George Orwell,43,m,m,367,1945,9,1,letter
154,153a1012bd6f6ef99ee69b4d395ec15705f2398cb0d0583044c12091e729cb23,en,George Orwell,43,m,m,338,1945,12,11,letter
159,f92c54ff28a50118f8f03f35f135478fe4cd2327cff112c25e0e094062009c4b,en,George Orwell,43,m,f,695,1946,2,19,letter
161,17232987c44e0f0a99e4358d6a0a921cf6d1d3d15b45ea2bae82256b9e5c6ab1,en,George Orwell,43,m,f,1012,1946,3,15,letter
166,e596318d1f445c7679ae3948427d6ed7d2875001d3beed8d7e9a8d82f6116ca8,en,George Orwell,43,m,m,645,1946,4,9,letter
168,2102a93bde6cd60a41f5ff0ade72dc0ac20ed46d61729485dd2d5783482fcde6,en,George Orwell,43,m,m,959,1946,4,13,letter
56,af980446eb215ba4836fc47602a9ac5cb8851351d37f4cc39e582bfbae959c5c,en,George Orwell,36,m,m,619,1938,7,5,letter
79,6c1f52acd19f1df2dd56ba205d3ef14573065469adfc95b8e44d591987e5ec1d,en,George Orwell,36,m,m,757,1939,3,19,letter
122,d411761d1f40e9fa2d1b338db4fde62b8641bc3ee37e118fd975ed4104f35c8a,en,George Orwell,41,m,m,213,1944,3,7,letter
172,de5ebd8a2ca8407bb7e50a3d9ac857e3ef2be6c7ada87b7726665f1ff8e2733c,en,George Orwell,43,m,m,265,1946,5,23,letter
175,9651a4311120397ef4d97c4fa2043992aba1ff6591f0d5d143f147db22edc0e1,en,George Orwell,44,m,f,435,1946,7,5,letter
176,9c4e634281ef5a749557450006afa2bb1ee3fca7c3083d860bdf61aea13fe7eb,en,George Orwell,44,m,m,770,1946,7,5,letter
177,eb4c4e0efc7758329d9a74cbbb90bc3aa21fc51cfa7336533667b04054c61fda,en,George Orwell,44,m,f,611,1946,7,29,letter
180,d8ad04537c7049f3ac28c50c4878f3a7dfe5c3e8a79ea69090a7b1b55dd5a57b,en,George Orwell,44,m,f,930,1946,8,17,letter
181,345bf6c435163c7765dae01a4bcdcea8fdab11deff8a58669dcc9eb134ffda7a,en,George Orwell,44,m,m,493,1946,9,2,letter
183,f098e9dfe6ccabeaf8c3fec35f650ed86a13c66f3e01fb112b812e9626c9cc10,en,George Orwell,44,m,m,393,1946,9,26,letter
